
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=40
DECAY_COEFFICIENT=2.5
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=25
ENABLE_WORD_EMBEDDINGS=True
EVALUATE_EVERY=40
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=80
NUM_FILTERS=128

Loading data...
6954
[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ..., 
 [0 0 0 0 1]
 [0 0 0 0 1]
 [0 0 0 0 1]]
Vocabulary Size: 46116
Train/Dev split: 6259/695
Writing to /home/sheep/bigdata/runs/1506709920

Load glove file /home/sheep/bigdata/glove.twitter.27B.25d.txt
glove file has been loaded

2017-09-29T13:32:16.722283: step 1, loss 5.89264, acc 0.171875, learning_rate 0.005
2017-09-29T13:32:16.939292: step 2, loss 3.96856, acc 0.265625, learning_rate 0.00498
2017-09-29T13:32:17.146462: step 3, loss 4.20016, acc 0.34375, learning_rate 0.00496008
2017-09-29T13:32:17.355116: step 4, loss 3.61383, acc 0.375, learning_rate 0.00494024
2017-09-29T13:32:17.576542: step 5, loss 2.90135, acc 0.390625, learning_rate 0.00492049
2017-09-29T13:32:17.788216: step 6, loss 3.14168, acc 0.328125, learning_rate 0.00490081
2017-09-29T13:32:17.995865: step 7, loss 3.40279, acc 0.21875, learning_rate 0.00488121
2017-09-29T13:32:18.196070: step 8, loss 2.84824, acc 0.25, learning_rate 0.0048617
2017-09-29T13:32:18.384939: step 9, loss 3.27876, acc 0.21875, learning_rate 0.00484226
2017-09-29T13:32:18.568706: step 10, loss 2.20202, acc 0.359375, learning_rate 0.00482291
2017-09-29T13:32:18.765721: step 11, loss 2.15357, acc 0.4375, learning_rate 0.00480363
2017-09-29T13:32:18.947638: step 12, loss 1.97941, acc 0.46875, learning_rate 0.00478443
2017-09-29T13:32:19.130764: step 13, loss 2.48344, acc 0.390625, learning_rate 0.00476531
2017-09-29T13:32:19.319920: step 14, loss 1.75313, acc 0.578125, learning_rate 0.00474627
2017-09-29T13:32:19.510630: step 15, loss 2.71357, acc 0.421875, learning_rate 0.0047273
2017-09-29T13:32:19.696542: step 16, loss 1.73324, acc 0.578125, learning_rate 0.00470841
2017-09-29T13:32:19.883014: step 17, loss 2.40252, acc 0.453125, learning_rate 0.0046896
2017-09-29T13:32:20.070935: step 18, loss 1.90997, acc 0.421875, learning_rate 0.00467087
2017-09-29T13:32:20.259467: step 19, loss 1.78899, acc 0.453125, learning_rate 0.00465221
2017-09-29T13:32:20.447347: step 20, loss 1.7695, acc 0.390625, learning_rate 0.00463363
2017-09-29T13:32:20.636435: step 21, loss 1.59183, acc 0.484375, learning_rate 0.00461513
2017-09-29T13:32:20.821429: step 22, loss 2.11462, acc 0.4375, learning_rate 0.0045967
2017-09-29T13:32:21.006197: step 23, loss 1.63655, acc 0.421875, learning_rate 0.00457834
2017-09-29T13:32:21.188364: step 24, loss 1.18489, acc 0.578125, learning_rate 0.00456006
2017-09-29T13:32:21.379839: step 25, loss 1.39141, acc 0.625, learning_rate 0.00454186
2017-09-29T13:32:21.568966: step 26, loss 1.21087, acc 0.609375, learning_rate 0.00452373
2017-09-29T13:32:21.753087: step 27, loss 0.980836, acc 0.703125, learning_rate 0.00450567
2017-09-29T13:32:21.934397: step 28, loss 1.41654, acc 0.53125, learning_rate 0.00448769
2017-09-29T13:32:22.124302: step 29, loss 0.960012, acc 0.671875, learning_rate 0.00446978
2017-09-29T13:32:22.309240: step 30, loss 0.860406, acc 0.75, learning_rate 0.00445194
2017-09-29T13:32:22.510717: step 31, loss 0.850955, acc 0.703125, learning_rate 0.00443418
2017-09-29T13:32:22.693176: step 32, loss 1.01252, acc 0.609375, learning_rate 0.00441649
2017-09-29T13:32:22.880174: step 33, loss 1.01619, acc 0.703125, learning_rate 0.00439887
2017-09-29T13:32:23.072460: step 34, loss 1.04273, acc 0.671875, learning_rate 0.00438132
2017-09-29T13:32:23.255606: step 35, loss 1.02024, acc 0.578125, learning_rate 0.00436385
2017-09-29T13:32:23.441841: step 36, loss 1.01155, acc 0.6875, learning_rate 0.00434644
2017-09-29T13:32:23.644777: step 37, loss 0.961711, acc 0.75, learning_rate 0.00432911
2017-09-29T13:32:23.849848: step 38, loss 0.665164, acc 0.78125, learning_rate 0.00431185
2017-09-29T13:32:24.057323: step 39, loss 0.787316, acc 0.734375, learning_rate 0.00429465
2017-09-29T13:32:24.249763: step 40, loss 0.513733, acc 0.828125, learning_rate 0.00427753

Evaluation:
2017-09-29T13:32:24.851860: step 40, loss 0.424906, acc 0.853237

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-40

2017-09-29T13:32:25.577485: step 41, loss 0.681961, acc 0.765625, learning_rate 0.00426048
2017-09-29T13:32:25.770378: step 42, loss 0.599046, acc 0.8125, learning_rate 0.0042435
2017-09-29T13:32:25.954970: step 43, loss 0.830664, acc 0.75, learning_rate 0.00422659
2017-09-29T13:32:26.140394: step 44, loss 0.459716, acc 0.796875, learning_rate 0.00420974
2017-09-29T13:32:26.324139: step 45, loss 0.715798, acc 0.796875, learning_rate 0.00419297
2017-09-29T13:32:26.509045: step 46, loss 0.453747, acc 0.859375, learning_rate 0.00417626
2017-09-29T13:32:26.694639: step 47, loss 0.832133, acc 0.671875, learning_rate 0.00415962
2017-09-29T13:32:26.878199: step 48, loss 0.679756, acc 0.71875, learning_rate 0.00414305
2017-09-29T13:32:27.060546: step 49, loss 0.803552, acc 0.703125, learning_rate 0.00412655
2017-09-29T13:32:27.244427: step 50, loss 0.51175, acc 0.828125, learning_rate 0.00411011
2017-09-29T13:32:27.424828: step 51, loss 0.692932, acc 0.734375, learning_rate 0.00409375
2017-09-29T13:32:27.608329: step 52, loss 0.679008, acc 0.765625, learning_rate 0.00407744
2017-09-29T13:32:27.790904: step 53, loss 0.74888, acc 0.703125, learning_rate 0.00406121
2017-09-29T13:32:27.974983: step 54, loss 0.714469, acc 0.75, learning_rate 0.00404504
2017-09-29T13:32:28.160322: step 55, loss 0.599211, acc 0.828125, learning_rate 0.00402894
2017-09-29T13:32:28.344507: step 56, loss 0.713422, acc 0.734375, learning_rate 0.0040129
2017-09-29T13:32:28.542443: step 57, loss 0.82913, acc 0.71875, learning_rate 0.00399693
2017-09-29T13:32:28.727443: step 58, loss 0.482613, acc 0.828125, learning_rate 0.00398102
2017-09-29T13:32:28.911268: step 59, loss 0.472435, acc 0.796875, learning_rate 0.00396518
2017-09-29T13:32:29.096995: step 60, loss 0.561114, acc 0.828125, learning_rate 0.00394941
2017-09-29T13:32:29.277994: step 61, loss 0.607977, acc 0.796875, learning_rate 0.00393369
2017-09-29T13:32:29.462922: step 62, loss 0.663917, acc 0.8125, learning_rate 0.00391804
2017-09-29T13:32:29.648916: step 63, loss 0.484703, acc 0.84375, learning_rate 0.00390246
2017-09-29T13:32:29.828987: step 64, loss 0.67101, acc 0.8125, learning_rate 0.00388694
2017-09-29T13:32:30.011004: step 65, loss 0.502101, acc 0.84375, learning_rate 0.00387148
2017-09-29T13:32:30.192534: step 66, loss 0.472988, acc 0.796875, learning_rate 0.00385609
2017-09-29T13:32:30.374732: step 67, loss 0.446536, acc 0.859375, learning_rate 0.00384076
2017-09-29T13:32:30.561081: step 68, loss 0.476026, acc 0.859375, learning_rate 0.00382549
2017-09-29T13:32:30.773719: step 69, loss 0.600606, acc 0.875, learning_rate 0.00381028
2017-09-29T13:32:30.956165: step 70, loss 0.523558, acc 0.796875, learning_rate 0.00379514
2017-09-29T13:32:31.139213: step 71, loss 0.826415, acc 0.71875, learning_rate 0.00378005
2017-09-29T13:32:31.321940: step 72, loss 0.52611, acc 0.859375, learning_rate 0.00376503
2017-09-29T13:32:31.505835: step 73, loss 0.513414, acc 0.8125, learning_rate 0.00375007
2017-09-29T13:32:31.690214: step 74, loss 0.340954, acc 0.875, learning_rate 0.00373517
2017-09-29T13:32:31.871732: step 75, loss 0.437656, acc 0.859375, learning_rate 0.00372034
2017-09-29T13:32:32.054996: step 76, loss 0.354438, acc 0.890625, learning_rate 0.00370556
2017-09-29T13:32:32.240533: step 77, loss 0.652822, acc 0.765625, learning_rate 0.00369084
2017-09-29T13:32:32.426053: step 78, loss 0.482006, acc 0.8125, learning_rate 0.00367619
2017-09-29T13:32:32.618774: step 79, loss 0.599421, acc 0.828125, learning_rate 0.00366159
2017-09-29T13:32:32.811911: step 80, loss 0.373973, acc 0.859375, learning_rate 0.00364705

Evaluation:
2017-09-29T13:32:33.362248: step 80, loss 0.32299, acc 0.883453

Saved model checkpoint to /home/sheep/bigdata/runs/1506709920/checkpoints/model-80

2017-09-29T13:32:34.095551: step 81, loss 0.930473, acc 0.734375, learning_rate 0.00363257
2017-09-29T13:32:34.278855: step 82, loss 0.458199, acc 0.828125, learning_rate 0.00361815
2017-09-29T13:32:34.467666: step 83, loss 0.34166, acc 0.875, learning_rate 0.00360379
2017-09-29T13:32:34.661567: step 84, loss 0.364111, acc 0.875, learning_rate 0.00358949
2017-09-29T13:32:34.846748: step 85, loss 0.513055, acc 0.84375, learning_rate 0.00357525
2017-09-29T13:32:35.025532: step 86, loss 0.383483, acc 0.84375, learning_rate 0.00356106
2017-09-29T13:32:35.216105: step 87, loss 0.338401, acc 0.859375, learning_rate 0.00354694
2017-09-29T13:32:35.411012: step 88, loss 0.317893, acc 0.875, learning_rate 0.00353287
2017-09-29T13:32:35.596317: step 89, loss 0.811519, acc 0.75, learning_rate 0.00351885
2017-09-29T13:32:35.786526: step 90, loss 0.476826, acc 0.859375, learning_rate 0.0035049
2017-09-29T13:32:35.970647: step 91, loss 0.610269, acc 0.8125, learning_rate 0.003491
2017-09-29T13:32:36.149353: step 92, loss 0.432138, acc 0.90625, learning_rate 0.00347716
2017-09-29T13:32:36.331602: step 93, loss 0.474193, acc 0.828125, learning_rate 0.00346338
2017-09-29T13:32:36.518016: step 94, loss 0.508985, acc 0.8125, learning_rate 0.00344965
2017-09-29T13:32:36.705914: step 95, loss 0.437871, acc 0.859375, learning_rate 0.00343597
2017-09-29T13:32:36.887510: step 96, loss 0.614312, acc 0.84375, learning_rate 0.00342236
2017-09-29T13:32:37.069801: step 97, loss 0.366764, acc 0.828125, learning_rate 0.0034088
2017-09-29T13:32:37.229606: step 98, loss 0.450888, acc 0.823529, learning_rate 0.00339529
2017-09-29T13:32:37.426597: step 99, loss 0.598398, acc 0.8125, learning_rate 0.00338184
2017-09-29T13:32:37.640159: step 100, loss 0.394155, acc 0.84375, learning_rate 0.00336844
2017-09-29T13:32:37.829494: step 101, loss 0.272412, acc 0.875, learning_rate 0.0033551
2017-09-29T13:32:38.019993: step 102, loss 0.440563, acc 0.875, learning_rate 0.00334182
2017-09-29T13:32:38.215385: step 103, loss 0.288795, acc 0.90625, learning_rate 0.00332858
2017-09-29T13:32:38.405969: step 104, loss 0.282173, acc 0.921875, learning_rate 0.00331541
2017-09-29T13:32:38.597541: step 105, loss 0.393855, acc 0.859375, learning_rate 0.00330228
2017-09-29T13:32:38.791620: step 106, loss 0.359635, acc 0.859375, learning_rate 0.00328921
