
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=40
DECAY_COEFFICIENT=2.5
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=25
ENABLE_WORD_EMBEDDINGS=True
EVALUATE_EVERY=40
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=80
NUM_FILTERS=128

Loading data...
6954
[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ..., 
 [0 0 0 0 1]
 [0 0 0 0 1]
 [0 0 0 0 1]]
Vocabulary Size: 1936201
Train/Dev split: 6259/695
Writing to /home/sheep/bigdata/runs/1507000132

Load glove file /home/sheep/bigdata/d7000/myglove.glove
glove file has been loaded

2017-10-02T22:12:14.712750: step 1, loss 2.57119, acc 0.171875, learning_rate 0.005
2017-10-02T22:12:16.761368: step 2, loss 2.77573, acc 0.421875, learning_rate 0.00498
2017-10-02T22:12:17.947118: step 3, loss 3.09161, acc 0.265625, learning_rate 0.00496008
2017-10-02T22:12:19.122186: step 4, loss 1.59172, acc 0.390625, learning_rate 0.00494024
2017-10-02T22:12:20.306962: step 5, loss 2.41056, acc 0.125, learning_rate 0.00492049
2017-10-02T22:12:21.482802: step 6, loss 2.15833, acc 0.0625, learning_rate 0.00490081
2017-10-02T22:12:22.643138: step 7, loss 2.29179, acc 0.15625, learning_rate 0.00488121
2017-10-02T22:12:23.807706: step 8, loss 2.18616, acc 0.140625, learning_rate 0.0048617
2017-10-02T22:12:24.980570: step 9, loss 1.8854, acc 0.234375, learning_rate 0.00484226
2017-10-02T22:12:26.157021: step 10, loss 1.75113, acc 0.265625, learning_rate 0.00482291
2017-10-02T22:12:27.329848: step 11, loss 1.95353, acc 0.25, learning_rate 0.00480363
2017-10-02T22:12:28.525010: step 12, loss 1.89628, acc 0.296875, learning_rate 0.00478443
2017-10-02T22:12:29.679710: step 13, loss 1.91483, acc 0.34375, learning_rate 0.00476531
2017-10-02T22:12:30.864775: step 14, loss 1.92762, acc 0.34375, learning_rate 0.00474627
2017-10-02T22:12:32.039802: step 15, loss 1.79703, acc 0.328125, learning_rate 0.0047273
2017-10-02T22:12:33.215108: step 16, loss 1.75635, acc 0.265625, learning_rate 0.00470841
2017-10-02T22:12:34.394601: step 17, loss 1.6057, acc 0.25, learning_rate 0.0046896
2017-10-02T22:12:35.555278: step 18, loss 1.60161, acc 0.265625, learning_rate 0.00467087
2017-10-02T22:12:36.744935: step 19, loss 1.58452, acc 0.265625, learning_rate 0.00465221
2017-10-02T22:12:37.904440: step 20, loss 1.80887, acc 0.15625, learning_rate 0.00463363
2017-10-02T22:12:39.081598: step 21, loss 1.78054, acc 0.140625, learning_rate 0.00461513
2017-10-02T22:12:40.258209: step 22, loss 1.5372, acc 0.265625, learning_rate 0.0045967
2017-10-02T22:12:41.454759: step 23, loss 1.53746, acc 0.390625, learning_rate 0.00457834
2017-10-02T22:12:42.641396: step 24, loss 1.61178, acc 0.359375, learning_rate 0.00456006
2017-10-02T22:12:43.830497: step 25, loss 1.57581, acc 0.28125, learning_rate 0.00454186
2017-10-02T22:12:45.007093: step 26, loss 1.51514, acc 0.296875, learning_rate 0.00452373
2017-10-02T22:12:46.171433: step 27, loss 1.58351, acc 0.34375, learning_rate 0.00450567
2017-10-02T22:12:47.331158: step 28, loss 1.75089, acc 0.28125, learning_rate 0.00448769
2017-10-02T22:12:48.513075: step 29, loss 1.50947, acc 0.3125, learning_rate 0.00446978
2017-10-02T22:12:49.669844: step 30, loss 1.50168, acc 0.34375, learning_rate 0.00445194
2017-10-02T22:12:50.858879: step 31, loss 1.72492, acc 0.265625, learning_rate 0.00443418
