
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=40
DECAY_COEFFICIENT=2.5
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=1
ENABLE_WORD_EMBEDDINGS=True
EVALUATE_EVERY=40
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=80
NUM_FILTERS=128

Loading data...
6954
[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ..., 
 [0 0 0 0 1]
 [0 0 0 0 1]
 [0 0 0 0 1]]
Vocabulary Size: 46116
Train/Dev split: 6259/695
Writing to /home/sheep/repo/CNN-text-multi-class-classification/runs/1506634174

2017-09-28T16:29:36.713784: step 1, loss 1.58964, acc 0.328125, learning_rate 0.005
2017-09-28T16:29:36.796555: step 2, loss 1.66704, acc 0.25, learning_rate 0.00498
2017-09-28T16:29:36.880909: step 3, loss 1.57034, acc 0.296875, learning_rate 0.00496008
2017-09-28T16:29:36.960877: step 4, loss 1.64722, acc 0.265625, learning_rate 0.00494024
2017-09-28T16:29:37.041230: step 5, loss 1.64245, acc 0.28125, learning_rate 0.00492049
2017-09-28T16:29:37.124952: step 6, loss 1.47113, acc 0.3125, learning_rate 0.00490081
2017-09-28T16:29:37.208667: step 7, loss 1.55209, acc 0.3125, learning_rate 0.00488121
2017-09-28T16:29:37.289495: step 8, loss 1.59461, acc 0.34375, learning_rate 0.0048617
2017-09-28T16:29:37.371627: step 9, loss 1.49412, acc 0.375, learning_rate 0.00484226
2017-09-28T16:29:37.452758: step 10, loss 1.52227, acc 0.390625, learning_rate 0.00482291
2017-09-28T16:29:37.532401: step 11, loss 1.56446, acc 0.375, learning_rate 0.00480363
2017-09-28T16:29:37.613832: step 12, loss 1.84087, acc 0.171875, learning_rate 0.00478443
2017-09-28T16:29:37.694492: step 13, loss 1.47868, acc 0.390625, learning_rate 0.00476531
2017-09-28T16:29:37.777426: step 14, loss 1.6508, acc 0.3125, learning_rate 0.00474627
2017-09-28T16:29:37.857575: step 15, loss 1.58476, acc 0.265625, learning_rate 0.0047273
2017-09-28T16:29:37.939732: step 16, loss 1.60145, acc 0.3125, learning_rate 0.00470841
2017-09-28T16:29:38.021380: step 17, loss 1.54487, acc 0.28125, learning_rate 0.0046896
2017-09-28T16:29:38.102355: step 18, loss 1.68917, acc 0.171875, learning_rate 0.00467087
2017-09-28T16:29:38.182785: step 19, loss 1.56979, acc 0.203125, learning_rate 0.00465221
2017-09-28T16:29:38.266237: step 20, loss 1.46752, acc 0.296875, learning_rate 0.00463363
2017-09-28T16:29:38.350404: step 21, loss 1.55931, acc 0.25, learning_rate 0.00461513
2017-09-28T16:29:38.433078: step 22, loss 1.56695, acc 0.21875, learning_rate 0.0045967
2017-09-28T16:29:38.517932: step 23, loss 1.63724, acc 0.328125, learning_rate 0.00457834
2017-09-28T16:29:38.600848: step 24, loss 1.58231, acc 0.296875, learning_rate 0.00456006
2017-09-28T16:29:38.683979: step 25, loss 1.71361, acc 0.28125, learning_rate 0.00454186
2017-09-28T16:29:38.764952: step 26, loss 1.72671, acc 0.21875, learning_rate 0.00452373
2017-09-28T16:29:38.842954: step 27, loss 1.6024, acc 0.28125, learning_rate 0.00450567
2017-09-28T16:29:38.923285: step 28, loss 1.63612, acc 0.21875, learning_rate 0.00448769
2017-09-28T16:29:39.006742: step 29, loss 1.6631, acc 0.328125, learning_rate 0.00446978
2017-09-28T16:29:39.087048: step 30, loss 1.67411, acc 0.25, learning_rate 0.00445194
2017-09-28T16:29:39.167389: step 31, loss 1.61276, acc 0.296875, learning_rate 0.00443418
2017-09-28T16:29:39.251243: step 32, loss 1.58857, acc 0.28125, learning_rate 0.00441649
2017-09-28T16:29:39.332471: step 33, loss 1.66268, acc 0.1875, learning_rate 0.00439887
2017-09-28T16:29:39.416533: step 34, loss 1.62315, acc 0.28125, learning_rate 0.00438132
2017-09-28T16:29:39.497950: step 35, loss 1.60035, acc 0.296875, learning_rate 0.00436385
2017-09-28T16:29:39.578934: step 36, loss 1.59723, acc 0.328125, learning_rate 0.00434644
2017-09-28T16:29:39.658986: step 37, loss 1.45658, acc 0.34375, learning_rate 0.00432911
2017-09-28T16:29:39.740989: step 38, loss 1.69409, acc 0.234375, learning_rate 0.00431185
2017-09-28T16:29:39.821607: step 39, loss 1.62843, acc 0.265625, learning_rate 0.00429465
2017-09-28T16:29:39.902962: step 40, loss 1.61467, acc 0.25, learning_rate 0.00427753

Evaluation:
2017-09-28T16:29:40.192201: step 40, loss 1.49567, acc 0.315108

