
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=40
DECAY_COEFFICIENT=2.5
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=25
ENABLE_WORD_EMBEDDINGS=True
EVALUATE_EVERY=40
FILTER_SIZES=3,4,5
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NUM_CHECKPOINTS=5
NUM_EPOCHS=80
NUM_FILTERS=128

Loading data...
6954
[[1 0 0 0 0]
 [1 0 0 0 0]
 [1 0 0 0 0]
 ..., 
 [0 0 0 0 1]
 [0 0 0 0 1]
 [0 0 0 0 1]]
Vocabulary Size: 46116
Train/Dev split: 6259/695
Writing to /home/sheep/bigdata/runs/1506700537

2017-09-29T10:55:39.948086: step 1, loss 4.04335, acc 0.15625, learning_rate 0.005
2017-09-29T10:55:40.174362: step 2, loss 3.21589, acc 0.296875, learning_rate 0.00498
2017-09-29T10:55:40.361685: step 3, loss 3.1955, acc 0.234375, learning_rate 0.00496008
2017-09-29T10:55:40.544972: step 4, loss 3.45499, acc 0.28125, learning_rate 0.00494024
2017-09-29T10:55:40.751861: step 5, loss 3.25968, acc 0.265625, learning_rate 0.00492049
2017-09-29T10:55:40.944515: step 6, loss 3.19811, acc 0.28125, learning_rate 0.00490081
2017-09-29T10:55:41.137705: step 7, loss 2.21109, acc 0.265625, learning_rate 0.00488121
2017-09-29T10:55:41.331671: step 8, loss 2.51913, acc 0.296875, learning_rate 0.0048617
2017-09-29T10:55:41.523542: step 9, loss 2.2562, acc 0.4375, learning_rate 0.00484226
2017-09-29T10:55:41.704999: step 10, loss 2.58672, acc 0.3125, learning_rate 0.00482291
2017-09-29T10:55:41.887439: step 11, loss 2.67025, acc 0.25, learning_rate 0.00480363
2017-09-29T10:55:42.071341: step 12, loss 2.71252, acc 0.296875, learning_rate 0.00478443
2017-09-29T10:55:42.262349: step 13, loss 2.45347, acc 0.40625, learning_rate 0.00476531
2017-09-29T10:55:42.447135: step 14, loss 2.59983, acc 0.296875, learning_rate 0.00474627
2017-09-29T10:55:42.630533: step 15, loss 2.72349, acc 0.21875, learning_rate 0.0047273
2017-09-29T10:55:42.823752: step 16, loss 2.70831, acc 0.25, learning_rate 0.00470841
2017-09-29T10:55:43.007442: step 17, loss 2.26691, acc 0.171875, learning_rate 0.0046896
2017-09-29T10:55:43.189097: step 18, loss 2.30271, acc 0.328125, learning_rate 0.00467087
2017-09-29T10:55:43.374928: step 19, loss 2.21687, acc 0.265625, learning_rate 0.00465221
2017-09-29T10:55:43.558566: step 20, loss 2.05073, acc 0.390625, learning_rate 0.00463363
2017-09-29T10:55:43.743545: step 21, loss 2.30171, acc 0.328125, learning_rate 0.00461513
2017-09-29T10:55:43.923420: step 22, loss 2.22708, acc 0.3125, learning_rate 0.0045967
2017-09-29T10:55:44.117131: step 23, loss 2.38867, acc 0.34375, learning_rate 0.00457834
2017-09-29T10:55:44.304575: step 24, loss 1.88477, acc 0.46875, learning_rate 0.00456006
2017-09-29T10:55:44.503139: step 25, loss 2.3228, acc 0.3125, learning_rate 0.00454186
2017-09-29T10:55:44.703647: step 26, loss 2.69521, acc 0.28125, learning_rate 0.00452373
2017-09-29T10:55:44.895496: step 27, loss 2.4174, acc 0.21875, learning_rate 0.00450567
2017-09-29T10:55:45.082218: step 28, loss 2.19232, acc 0.265625, learning_rate 0.00448769
2017-09-29T10:55:45.263610: step 29, loss 2.56634, acc 0.1875, learning_rate 0.00446978
2017-09-29T10:55:45.459191: step 30, loss 2.42711, acc 0.3125, learning_rate 0.00445194
2017-09-29T10:55:45.648242: step 31, loss 2.33579, acc 0.296875, learning_rate 0.00443418
2017-09-29T10:55:45.850285: step 32, loss 1.60028, acc 0.40625, learning_rate 0.00441649
2017-09-29T10:55:46.037049: step 33, loss 2.01172, acc 0.328125, learning_rate 0.00439887
2017-09-29T10:55:46.234282: step 34, loss 1.76326, acc 0.3125, learning_rate 0.00438132
2017-09-29T10:55:46.447570: step 35, loss 2.06099, acc 0.359375, learning_rate 0.00436385
2017-09-29T10:55:46.646837: step 36, loss 1.96049, acc 0.375, learning_rate 0.00434644
2017-09-29T10:55:46.852813: step 37, loss 1.91448, acc 0.265625, learning_rate 0.00432911
2017-09-29T10:55:47.048900: step 38, loss 1.6118, acc 0.40625, learning_rate 0.00431185
2017-09-29T10:55:47.242409: step 39, loss 2.00156, acc 0.296875, learning_rate 0.00429465
2017-09-29T10:55:47.434909: step 40, loss 1.73315, acc 0.359375, learning_rate 0.00427753

Evaluation:
2017-09-29T10:55:48.041128: step 40, loss 1.11261, acc 0.641727

Saved model checkpoint to /home/sheep/bigdata/runs/1506700537/checkpoints/model-40

2017-09-29T10:55:48.763801: step 41, loss 2.18347, acc 0.296875, learning_rate 0.00426048
2017-09-29T10:55:48.953669: step 42, loss 1.63425, acc 0.359375, learning_rate 0.0042435
2017-09-29T10:55:49.142056: step 43, loss 2.10287, acc 0.328125, learning_rate 0.00422659
2017-09-29T10:55:49.325162: step 44, loss 1.6147, acc 0.515625, learning_rate 0.00420974
